utc_date,local_time,hour_category,part_of_the_day,magnitude,magnitude_unit,magnitude_category,depth_(km),depth_category,location,latitude,longitude,url
2023-06-21,02:14:26,2:00 - 3:00,Early Hours,3.0,Ml,3-3.9,139,intermediate,21 km al NE de Termas del Flaco,-34.797,-70.312,https://www.sismologia.cl/sismicidad/informes/2023/06/201361.html
2023-06-21,00:58:36,0:00 - 1:00,Early Hours,3.2,Ml,3-3.9,126,intermediate,38 km al SO de Ollagüe,-21.454,-68.525,https://www.sismologia.cl/sismicidad/informes/2023/06/201354.html
2023-06-21,23:58:52,23:00 - 24:00,Later Hours,3.5,Ml,3-3.9,247,intermediate,67 km al SE de Socaire,-24.111,-67.551,https://www.sismologia.cl/sismicidad/informes/2023/06/201344.html
2023-06-21,23:40:17,23:00 - 24:00,Later Hours,3.0,Ml,3-3.9,47,shallow,10 km al SE de Constitución,-35.383,-72.321,https://www.sismologia.cl/sismicidad/informes/2023/06/201341.html
2023-06-21,20:31:38,20:00 - 21:00,Later Hours,2.9,Ml,<3,116,intermediate,39 km al SE de Alto del Carmen,-28.917,-70.13,https://www.sismologia.cl/sismicidad/informes/2023/06/201323.html
2023-06-20,19:22:20,19:00 - 20:00,Later Hours,3.2,Ml,3-3.9,112,intermediate,46 km al O de Ollagüe,-21.26,-68.699,https://www.sismologia.cl/sismicidad/informes/2023/06/201321.html
2023-06-20,19:02:08,19:00 - 20:00,Later Hours,3.1,Ml,3-3.9,19,shallow,82 km al O de Tongoy,-30.508,-72.295,https://www.sismologia.cl/sismicidad/informes/2023/06/201318.html
2023-06-20,16:28:07,16:00 - 17:00,Later Hours,4.3,Ml,4-4.9,104,intermediate,31 km al E de Pica,-20.405,-69.049,https://www.sismologia.cl/sismicidad/informes/2023/06/201308.html
2023-06-20,14:53:49,14:00 - 15:00,Central Hours,3.2,Ml,3-3.9,10,shallow,124 km al O de Tirúa,-38.339,-74.918,https://www.sismologia.cl/sismicidad/informes/2023/06/201298.html
2023-06-20,11:07:06,11:00 - 12:00,Central Hours,3.0,Ml,3-3.9,41,shallow,64 km al SO de Alto Hospicio,-20.637,-70.576,https://www.sismologia.cl/sismicidad/informes/2023/06/201272.html
2023-06-20,09:09:18,9:00 - 10:00,Central Hours,2.8,Ml,<3,95,intermediate,62 km al NE de Quillagua,-21.247,-69.131,https://www.sismologia.cl/sismicidad/informes/2023/06/201262.html
2023-06-20,08:36:24,8:00 - 9:00,Central Hours,2.7,Ml,<3,32,shallow,8 km al O de Huasco,-28.447,-71.295,https://www.sismologia.cl/sismicidad/informes/2023/06/201261.html
2023-06-20,05:45:59,5:00 - 6:00,Early Hours,2.8,Ml,<3,52,intermediate,29 km al NO de Pozo Almonte,-20.026,-69.914,https://www.sismologia.cl/sismicidad/informes/2023/06/201251.html
2023-06-20,05:04:30,5:00 - 6:00,Early Hours,4.3,Ml,4-4.9,205,intermediate,74 km al N de San Pedro de Atacama,-22.267,-68.068,https://www.sismologia.cl/sismicidad/informes/2023/06/201249.html
